Name,Date of landfall,Max wind speed
UNNAMED,10/12/1900,40
UNNAMED,06/13/1901,35
UNNAMED,08/10/1901,40
UNNAMED,09/17/1901,50
UNNAMED,09/28/1901,40
UNNAMED,06/15/1902,45
UNNAMED,09/12/1903,70
UNNAMED,10/17/1904,60
UNNAMED,06/13/1906,40
UNNAMED,06/17/1906,75
UNNAMED,10/21/1906,50
UNNAMED,06/28/1907,50
UNNAMED,09/19/1907,30
UNNAMED,09/28/1907,45
UNNAMED,06/29/1909,40
UNNAMED,08/29/1909,45
UNNAMED,09/26/1909,30
UNNAMED,10/18/1910,95
UNNAMED,11/01/1911,25
UNNAMED,10/04/1912,30
UNNAMED,09/18/1914,35
UNNAMED,08/01/1915,65
UNNAMED,09/04/1915,80
UNNAMED,05/14/1916,40
UNNAMED,08/25/1916,40
UNNAMED,10/18/1916,95
UNNAMED,09/29/1917,100
UNNAMED,07/04/1919,55
UNNAMED,10/16/1921,30
UNNAMED,10/26/1921,80
UNNAMED,09/15/1924,75
UNNAMED,10/21/1924,70
UNNAMED,12/01/1925,50
UNNAMED,07/28/1926,75
UNNAMED,09/18/1926,90
UNNAMED,08/08/1928,70
UNNAMED,08/14/1928,45
UNNAMED,09/17/1928,100
UNNAMED,10/01/1929,70
UNNAMED,09/09/1930,35
UNNAMED,09/15/1932,45
UNNAMED,07/30/1933,60
UNNAMED,09/04/1933,110
UNNAMED,07/23/1934,30
UNNAMED,10/06/1934,35
UNNAMED,09/04/1935,85
UNNAMED,11/05/1935,70
UNNAMED,06/15/1936,40
UNNAMED,07/29/1936,50
UNNAMED,08/21/1936,50
UNNAMED,07/30/1937,45
UNNAMED,08/30/1937,50
UNNAMED,09/20/1937,35
UNNAMED,08/11/1939,65
UNNAMED,10/06/1941,75
UNNAMED,10/20/1941,35
UNNAMED,10/19/1944,75
UNNAMED,06/24/1945,50
UNNAMED,09/05/1945,35
UNNAMED,09/15/1945,115
UNNAMED,10/08/1946,75
UNNAMED,11/01/1946,40
UNNAMED,09/17/1947,105
UNNAMED,09/24/1947,50
UNNAMED,10/07/1947,30
UNNAMED,07/09/1948,35
UNNAMED,09/21/1948,105
UNNAMED,10/06/1948,80
UNNAMED,08/27/1949,115
EASY,09/05/1950,105
KING,10/18/1950,115
LOVE,10/21/1950,50
HOW,10/02/1951,45
ALICE,06/06/1953,40
UNNAMED,07/11/1953,25
UNNAMED,08/29/1953,25
UNNAMED,09/20/1953,35
FLORENCE,09/26/1953,70
HAZEL,10/09/1953,65
UNNAMED,06/18/1954,25
FLOSSY,09/25/1956,80
UNNAMED,10/15/1956,50
DEBBIE,09/08/1957,35
JUDITH,10/18/1959,45
DONNA,09/10/1960,105
FLORENCE,09/23/1960,30
ALMA,08/26/1962,25
UNNAMED,06/06/1964,30
CLEO,08/27/1964,85
DORA,09/10/1964,95
HILDA,10/05/1964,40
UNNAMED,06/15/1965,45
BETSY,09/08/1965,110
ALMA,06/10/1966,60
ABBY,06/04/1968,55
BRENDA,06/18/1968,25
DOLLY,08/10/1968,25
UNNAMED,08/29/1968,25
GLADYS,10/19/1968,70
UNNAMED,08/29/1969,25
GERDA,09/07/1969,25
JENNY,10/03/1969,35
ALMA,05/25/1970,25
BECKY,07/22/1970,30
UNNAMED,08/07/1970,-99
UNNAMED,08/13/1971,20
UNNAMED,08/30/1971,25
UNNAMED,10/14/1971,-99
ALPHA,05/28/1972,30
AGNES,06/20/1972,45
DAWN,09/05/1972,30
UNNAMED,09/26/1973,25
UNNAMED,06/25/1974,55
UNNAMED,06/11/1976,20
DOTTIE,08/19/1976,35
UNNAMED,09/13/1976,15
DAVID,09/03/1979,85
UNNAMED,07/18/1980,20
UNNAMED,11/18/1980,20
UNNAMED,07/02/1981,25
DENNIS,08/17/1981,35
BARRY,08/25/1983,30
UNNAMED,06/14/1984,-99
ISIDORE,09/27/1984,45
UNNAMED,10/26/1984,25
BOB,07/23/1985,40
KATE,11/21/1985,85
CHARLEY,08/13/1986,10
UNNAMED,08/14/1987,15
UNNAMED,11/04/1987,20
KEITH,11/23/1988,35
UNNAMED,08/14/1988,30
ANA,06/30/1991,20
ANDREW,08/24/1992,115
ALBERTO,07/03/1994,55
BERYL,08/16/1994,50
GORDON,11/16/1994,45
ALLISON,06/05/1995,60
ERIN,08/02/1995,75
JERRY,08/23/1995,35
OPAL,10/05/1995,80
DANNY,07/20/1997,35
EARL,09/03/1998,70
GEORGES,09/29/1998,30
MITCH,11/05/1998,55
HARVEY,09/21/1999,50
IRENE,10/15/1999,65
GORDON,09/18/2000,40
LESLIE,10/04/2000,30
BARRY,08/06/2001,60
GABRIELLE,09/14/2001,45
EDOUARD,09/05/2002,35
HENRI,09/06/2003,30
BONNIE,08/12/2004,30
CHARLEY,08/14/2004,75
FRANCES,09/05/2004,90
JEANNE,09/26/2004,105
DENNIS,07/10/2005,105
KATRINA,08/26/2005,70
TAMMY,10/06/2005,45
WILMA,10/24/2005,105
ALBERTO,06/13/2006,35
ERNESTO,08/30/2006,40
BARRY,06/02/2007,30
TEN,09/22/2007,25
FAY,08/19/2008,55
CLAUDETTE,08/17/2009,40
IDA,11/10/2009,30
BONNIE,07/23/2010,30
FIVE,08/16/2010,20
BERYL,05/28/2012,55
DEBBY,06/27/2012,30
ANDREA,06/07/2013,40
HERMINE,09/02/2016,70
JULIA,09/13/2016,35
